priority_rank,priority_score,province,city,school_count,current_geo_node_id,current_geo_confidence,current_urban_node_id,current_urban_confidence,review_reasons,suggested_geo_parent_id,suggested_geo_node_id,suggested_geo_name,suggested_urban_parent_id,suggested_urban_node_id,suggested_urban_name,reviewer_geo_action,reviewer_geo_parent_id,reviewer_geo_node_id,reviewer_geo_name,reviewer_urban_action,reviewer_urban_parent_id,reviewer_urban_node_id,reviewer_urban_name,reviewer_confidence,reviewer_note
76,11109,江西,九江市,9,geo:province:jiangxi,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangxi,geo:reviewed:eb2aba52d9,九江市,urban:tier:prefecture,urban:reviewed:f17df85ae5,九江市,,,,,,,,,,
77,11109,河南,信阳市,9,geo:province:henan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:henan,geo:reviewed:eff1cdc6be,信阳市,urban:tier:prefecture,urban:reviewed:ed9dd3043f,信阳市,,,,,,,,,,
78,11109,湖北,荆州市,9,geo:province:hubei,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hubei,geo:reviewed:65ed5b7feb,荆州市,urban:tier:prefecture,urban:reviewed:ec5f97176d,荆州市,,,,,,,,,,
79,11109,湖南,株洲市,9,geo:province:hunan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hunan,geo:reviewed:7b05355501,株洲市,urban:tier:prefecture,urban:reviewed:4a03289baa,株洲市,,,,,,,,,,
80,11109,陕西,咸阳市,9,geo:province:shaanxi,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:shaanxi,geo:reviewed:28a6f5a9ef,咸阳市,urban:tier:prefecture,urban:reviewed:1c0d32b3dc,咸阳市,,,,,,,,,,
81,11108,安徽,阜阳市,8,geo:province:anhui,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:anhui,geo:reviewed:dbe53025d5,阜阳市,urban:tier:prefecture,urban:reviewed:1f35dc0ed7,阜阳市,,,,,,,,,,
82,11108,广东,东莞市,8,geo:province:guangdong,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:guangdong,geo:reviewed:6d0cbff076,东莞市,urban:tier:prefecture,urban:reviewed:b4b701cc47,东莞市,,,,,,,,,,
83,11108,江苏,盐城,8,geo:province:jiangsu,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangsu,geo:reviewed:31b0a4e971,盐城,urban:tier:prefecture,urban:reviewed:8b9df35f06,盐城,,,,,,,,,,
84,11108,贵州,遵义市,8,geo:province:guizhou,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:guizhou,geo:reviewed:cd477f8f48,遵义市,urban:tier:prefecture,urban:reviewed:42d30e968c,遵义市,,,,,,,,,,
85,11107,四川,泸州市,7,geo:province:sichuan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:sichuan,geo:reviewed:b6d9b525bd,泸州市,urban:tier:prefecture,urban:reviewed:05045e49b9,泸州市,,,,,,,,,,
86,11107,安徽,蚌埠市,7,geo:province:anhui,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:anhui,geo:reviewed:03f87d4f66,蚌埠市,urban:tier:prefecture,urban:reviewed:603b55565c,蚌埠市,,,,,,,,,,
